name,Abstract,Introduction,Background,Related Work,Methods,Results,Discussion,Conclusion
Numerical Analysis,5.485489345583071,6.326008227750287,5.878766794784347,5.729976366872302,6.025086807561924,6.674041132638121,5.970305976970384,5.76124404907981
Digital Libraries,5.161821160253215,5.708033842084214,5.263005044295535,5.862555942708877,5.5506407088108904,5.994923279209111,5.089702614924425,5.6150144233183505
Symbolic Computation,4.799819633325675,5.160943095882418,5.4527234623623535,5.443430585158531,4.911210862228154,5.041801592390391,5.113226225570926,5.144828134998062
Graphics,5.518978257570061,6.415520429438038,6.127502140748831,6.437415897452413,6.607117989153325,6.740528577235484,6.166462111210694,5.752536803235851
Databases,5.484901657425776,6.369949029871814,5.893979853274651,6.107857556515111,6.299419054067666,6.9202629524449595,5.833414931920898,5.560369645353797
Multiagent Systems,5.189068595738551,5.982753031447765,6.09832474149745,6.160517992126141,6.137621080196917,6.3027989298177864,5.606414977341336,5.428759187931658
Operating Systems,5.73215868579003,6.6941907424345315,6.893912066034552,6.366911365627849,6.633421970402479,6.745207856056829,5.638924538251777,5.6607885947937735
Information Retrieval,5.705183352347652,6.474435553509201,6.2935811225947615,6.659463524670843,6.644909591864507,7.0194873401873785,6.280047865008939,5.798206918724038
Hardware Architecture,5.841596776628847,6.506789408183844,6.705548000391242,5.959819365763873,6.846372502759293,6.699281218836859,6.542841496831068,5.511002890637015
Robotics,5.666844516755091,6.504792648746884,6.159908905136464,6.687634494662697,6.801331999003391,7.144448311417463,6.3239793284436185,5.8572825976048675
Computers and Society,5.34990164690394,5.992821680201852,5.9755660741011685,5.9727786248316095,6.115858039570122,6.438558316877174,5.972334408194314,5.515334597709184
Human-Computer Interaction,5.275907581844913,5.957738518890071,5.88719117710505,6.073808167771381,6.036296362448958,6.298945755051653,5.857329964574472,5.359217724605195
Multimedia,5.899934486708749,7.0201730301410805,6.317429864491005,6.9079826374746505,7.03058616900429,7.203169887611156,6.208050883463666,5.822103779003121
Systems and Control,5.598695982121616,6.640080075212808,6.390991559937635,6.481596062956179,6.450808402861852,6.664891342354814,6.321505014323119,5.823209749824799
Formal Languages and Automata Theory,5.422014755980263,5.978849872091996,5.326609920963651,5.666039126844524,6.765202022757893,6.280499841255466,5.309545722147426,5.747800982054765
Emerging Technologies,5.165991440353964,5.662660720841933,5.9738891838956905,5.682808193365495,6.233861243438126,6.092290398761762,5.535161315481817,5.445089437855902
Social and Information Networks,5.5735763923418284,6.521863081319564,6.321906890562307,6.429928858008059,6.392683938661257,6.874080056571208,6.095504262977745,5.826760504541722
